image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.90.png,6.407,24.859,26.003,24.846,24.899,26.042,26.072,25.914
noiseimage/[test02]_origin_0.90.png,6.224,22.613,23.736,22.591,22.615,23.775,23.817,23.732
noiseimage/[test03]_origin_0.90.png,6.309,22.781,23.856,22.803,22.835,23.912,23.967,23.966
noiseimage/[test04]_origin_0.90.png,6.292,23.287,25.063,23.309,23.309,25.176,25.204,24.863
noiseimage/[test05]_origin_0.90.png,6.668,22.611,23.605,22.645,22.752,23.625,23.646,23.450
noiseimage/[test06]_origin_0.90.png,6.759,20.207,21.158,20.185,20.206,21.148,21.168,21.007
noiseimage/[test07]_origin_0.90.png,6.146,22.053,23.014,22.018,22.027,23.006,23.044,22.984
noiseimage/[test08]_origin_0.90.png,6.175,25.527,26.466,25.497,25.567,26.478,26.516,26.467
noiseimage/[test09]_origin_0.90.png,6.662,20.573,21.328,20.578,20.594,21.347,21.383,21.326
noiseimage/[test10]_origin_0.90.png,6.397,17.601,18.484,17.572,17.597,18.506,18.537,18.404
noiseimage/[test11]_origin_0.90.png,6.818,25.722,26.907,25.659,25.742,26.922,26.946,26.717
noiseimage/[test12]_origin_0.90.png,6.093,20.160,21.022,20.188,20.211,21.037,21.076,20.981
noiseimage/[test13]_origin_0.90.png,6.193,23.636,24.686,23.636,23.713,24.694,24.727,24.594
noiseimage/[test14]_origin_0.90.png,6.599,23.142,24.292,23.101,23.162,24.282,24.311,24.211
noiseimage/[test15]_origin_0.90.png,6.711,18.306,19.160,18.244,18.269,19.152,19.172,18.999
noiseimage/[test16]_origin_0.90.png,6.935,23.101,23.947,23.146,23.231,23.978,23.996,23.826
noiseimage/[test17]_origin_0.90.png,6.901,22.090,23.088,22.093,22.117,23.134,23.177,23.147
noiseimage/[test18]_origin_0.90.png,6.331,26.977,28.015,26.971,27.045,28.049,28.085,27.993
noiseimage/[test19]_origin_0.90.png,6.008,19.735,20.743,19.744,19.776,20.763,20.787,20.634
noiseimage/[test20]_origin_0.90.png,6.618,22.113,22.887,22.076,22.101,22.920,22.971,23.005
noiseimage/[test21]_origin_0.90.png,6.625,22.755,23.763,22.752,22.852,23.802,23.817,23.593
noiseimage/[test22]_origin_0.90.png,6.578,20.527,21.380,20.549,20.574,21.401,21.425,21.302
noiseimage/[test23]_origin_0.90.png,6.258,24.438,25.675,24.374,24.410,25.695,25.729,25.533
noiseimage/[test24]_origin_0.90.png,6.576,21.442,22.349,21.470,21.493,22.376,22.404,22.305
noiseimage/[test25]_origin_0.90.png,5.818,27.775,28.850,27.779,27.880,28.853,28.868,28.649
noiseimage/[test26]_origin_0.90.png,6.233,17.001,17.910,16.956,16.977,17.928,17.950,17.745
noiseimage/[test27]_origin_0.90.png,6.063,21.664,22.454,21.653,21.679,22.485,22.529,22.568
noiseimage/[test28]_origin_0.90.png,6.380,18.381,19.548,18.399,18.426,19.574,19.587,19.337
noiseimage/[test29]_origin_0.90.png,6.593,24.447,25.626,24.412,24.487,25.630,25.649,25.417
noiseimage/[test30]_origin_0.90.png,6.652,19.396,20.223,19.391,19.410,20.236,20.274,20.216
noiseimage/[test31]_origin_0.90.png,6.942,22.860,23.566,22.862,22.966,23.611,23.635,23.524
noiseimage/[test32]_origin_0.90.png,6.022,20.807,21.868,20.751,20.781,21.885,21.906,21.719
noiseimage/[test33]_origin_0.90.png,5.400,24.893,26.167,24.906,24.892,26.268,26.315,26.170
noiseimage/[test34]_origin_0.90.png,6.191,20.264,21.369,20.239,20.264,21.395,21.415,21.199
noiseimage/[test35]_origin_0.90.png,5.485,24.428,25.878,24.311,24.326,25.955,26.015,25.969
noiseimage/[test36]_origin_0.90.png,6.680,24.051,25.122,24.046,24.095,25.183,25.223,25.148
noiseimage/[test37]_origin_0.90.png,6.773,24.882,26.013,24.846,24.898,26.058,26.110,26.050
noiseimage/[test38]_origin_0.90.png,6.696,28.035,29.369,28.011,28.044,29.451,29.539,29.748
noiseimage/[test39]_origin_0.90.png,6.178,20.585,21.459,20.530,20.550,21.464,21.506,21.463
noiseimage/[test40]_origin_0.90.png,6.246,19.292,20.121,19.261,19.289,20.130,20.151,20.040
noiseimage/[test41]_origin_0.90.png,6.117,24.157,25.236,24.141,24.166,25.265,25.314,25.277
noiseimage/[test42]_origin_0.90.png,6.443,21.176,22.568,21.089,21.132,22.597,22.576,22.083
noiseimage/[test43]_origin_0.90.png,6.404,20.836,21.877,20.808,20.861,21.905,21.927,21.751
noiseimage/[test44]_origin_0.90.png,5.518,24.291,25.417,24.271,24.332,25.469,25.530,25.561
noiseimage/[test45]_origin_0.90.png,6.704,23.189,24.240,23.206,23.284,24.280,24.317,24.220
noiseimage/[test46]_origin_0.90.png,5.962,16.052,17.169,16.030,16.049,17.189,17.193,16.920
noiseimage/[test47]_origin_0.90.png,6.205,17.583,18.499,17.600,17.617,18.521,18.549,18.454
noiseimage/[test48]_origin_0.90.png,6.426,20.250,21.232,20.287,20.335,21.269,21.298,21.174
noiseimage/[test49]_origin_0.90.png,6.308,25.304,26.660,25.262,25.343,26.715,26.756,26.568
noiseimage/[test50]_origin_0.90.png,7.007,27.550,28.666,27.514,27.763,28.673,28.687,28.480
noiseimage/[test51]_origin_0.90.png,6.906,27.333,28.419,27.303,27.489,28.405,28.437,28.353
noiseimage/[test52]_origin_0.90.png,6.512,29.951,31.471,29.917,30.182,31.440,31.480,31.355
